Ticker	Fund Name	Issuer	Segment	Analyst Pick	Grade	E	T	F	Ticker	Fund Name	Asset Class	Region	Geography	Category	Focus	Niche	Inverse	Leveraged	ETN	Underlying Index	Selection Criteria	Weighting Scheme	Active per SEC	Ticker	Fund name	Dividend yield	P/E	P/B	Duration		Credit quality	YTM		Ticker	Fund name	Issuer	Expense ratio %	AUM	Spread	Segment	Ticker	Fund Name	Legal Structure	MAX LT Capital Gains Rate	Max ST Capital Gains Rate	Tax Reporting
DXJH	WisdomTree Japan Hedged Health Care Fund	WisdomTree	Equity: Japan Health Care		C	81	56	66	DXJH	WisdomTree Japan Hedged Health Care Fund	Equity	Asia-Pacific	Japan	Sector	Health Care	Broad-based	No	No	No	WisdomTree Japan Hedged Health Care Index	Market Cap	Market Cap	No	DXJH	WisdomTree Japan Hedged Health Care Fund	1.79%	23.58	2.26		--	--    	--		DXJH	WisdomTree Japan Hedged Health Care Fund	WisdomTree	0.48%	$4.98M	0.14%	Equity: Japan Health Care	DXJH	WisdomTree Japan Hedged Health Care Fund	Open-Ended Fund	20.00	39.60	1099
DXJR	WisdomTree Japan Hedged Real Estate Fund	WisdomTree	Equity: Japan Real Estate		C	77	58	55	DXJR	WisdomTree Japan Hedged Real Estate Fund	Equity	Asia-Pacific	Japan	Sector	Real Estate	Broad-based	No	No	No	WisdomTree Japan Hedged Real Estate Index	Market Cap	Market Cap	No	DXJR	WisdomTree Japan Hedged Real Estate Fund	93.29%	17.71	1.55		--	--    	--		DXJR	WisdomTree Japan Hedged Real Estate Fund	WisdomTree	0.48%	$6.33M	0.14%	Equity: Japan Real Estate	DXJR	WisdomTree Japan Hedged Real Estate Fund	Open-Ended Fund	20.00	39.60	1099
DXJS	WisdomTree Japan Hedged SmallCap Equity Fund	WisdomTree	Equity: Japan - Small Cap		B	82	75	59	DXJS	WisdomTree Japan Hedged SmallCap Equity Fund	Equity	Asia-Pacific	Japan	Size and Style	Small Cap	Broad-based	No	No	No	WisdomTree Japan Hedged SmallCap Equity Index	Dividends	Dividend	No	DXJS	WisdomTree Japan Hedged SmallCap Equity Fund	1.62%	17.00	1.01		--	--    	--		DXJS	WisdomTree Japan Hedged SmallCap Equity Fund	WisdomTree	0.58%	$103.52M	0.22%	Equity: Japan - Small Cap	DXJS	WisdomTree Japan Hedged SmallCap Equity Fund	Open-Ended Fund	20.00	39.60	1099
DXJT	WisdomTree Japan Hedged Tech Media & Telecom Fund	WisdomTree	Equity: Japan Technology		D	64	54	59	DXJT	WisdomTree Japan Hedged Tech Media & Telecom Fund	Equity	Asia-Pacific	Japan	Sector	Technology	Broad-based	No	No	No	WisdomTree Japan Hedged Tech, Media and Telecom Index	Market Cap	Market Cap	No	DXJT	WisdomTree Japan Hedged Tech Media & Telecom Fund	1.12%	19.29	1.76		--	--    	--		DXJT	WisdomTree Japan Hedged Tech Media & Telecom Fund	WisdomTree	0.48%	$1.37M	0.15%	Equity: Japan Technology	DXJT	WisdomTree Japan Hedged Tech Media & Telecom Fund	Open-Ended Fund	20.00	39.60	1099
DXKW	WisdomTree Korea Hedged Equity Fund	WisdomTree	Equity: South Korea - Total Market		F	52	27	39	DXKW	WisdomTree Korea Hedged Equity Fund	Equity	Asia-Pacific	South Korea	Size and Style	Total Market	Broad-based	No	No	No	WisdomTree Korea Hedged Equity Index	Fundamental	Earnings	No	DXKW	WisdomTree Korea Hedged Equity Fund	0.00%	10.91	1.08		--	--    	--		DXKW	WisdomTree Korea Hedged Equity Fund	WisdomTree	0.58%	$10.14M	1.17%	Equity: South Korea - Total Market	DXKW	WisdomTree Korea Hedged Equity Fund	Open-Ended Fund	20.00	39.60	1099
DXPS	WisdomTree United Kingdom Hedged Equity Fund	WisdomTree	Equity: U.K. - Total Market		C	80	49	34	DXPS	WisdomTree United Kingdom Hedged Equity Fund	Equity	Europe	U.K.	Size and Style	Total Market	Broad-based	No	No	No	WisdomTree United Kingdom Hedged Equity Index	Fundamental	Dividend	No	DXPS	WisdomTree United Kingdom Hedged Equity Fund	18.74%	57.02	1.99		--	--    	--		DXPS	WisdomTree United Kingdom Hedged Equity Fund	WisdomTree	0.48%	$19.12M	0.53%	Equity: U.K. - Total Market	DXPS	WisdomTree United Kingdom Hedged Equity Fund	Open-Ended Fund	20.00	39.60	1099
DXUS	WisdomTree Global ex-U.S. Hedged Dividend Fund	WisdomTree	Equity: Global Ex-U.S. - Total Market		C	78	53	63	DXUS	WisdomTree Global ex-U.S. Hedged Dividend Fund	Equity	Global Ex-U.S.	Global Ex-U.S.	Size and Style	Total Market	Broad-based	No	No	No	WisdomTree Global ex-U.S. Hedged Dividend Index	Dividends	Tiered	No	DXUS	WisdomTree Global ex-U.S. Hedged Dividend Fund	1.50%	18.22	1.46		--	--    	--		DXUS	WisdomTree Global ex-U.S. Hedged Dividend Fund	WisdomTree	0.44%	$4.82M	0.14%	Equity: Global Ex-U.S. - Total Market	DXUS	WisdomTree Global ex-U.S. Hedged Dividend Fund	Open-Ended Fund	20.00	39.60	1099
DYB	WisdomTree Dynamic Bearish U.S. Equity Fund	WisdomTree	Alternatives: Absolute Returns		D	71	61	--	DYB	WisdomTree Dynamic Bearish U.S. Equity Fund	Alternatives	North America	U.S.	Absolute Returns	Long/Short	Long/Short Equity	No	No	No	WisdomTree Dynamic Bearish U.S. Equity Index	Fixed	Fundamental	No	DYB	WisdomTree Dynamic Bearish U.S. Equity Fund	0.14%	--	--		--	--    	--		DYB	WisdomTree Dynamic Bearish U.S. Equity Fund	WisdomTree	0.48%	$3.75M	0.32%	Alternatives: Absolute Returns	DYB	WisdomTree Dynamic Bearish U.S. Equity Fund	Open-Ended Fund	20.00	39.60	1099
DYLS	WisdomTree Dynamic Long/Short U.S. Equity Fund	WisdomTree	Alternatives: Absolute Returns		C	79	68	--	DYLS	WisdomTree Dynamic Long/Short U.S. Equity Fund	Alternatives	North America	U.S.	Absolute Returns	Long/Short	Long/Short Equity	No	No	No	WisdomTree Dynamic Long/Short U.S. Equity Index	Fixed	Fundamental	No	DYLS	WisdomTree Dynamic Long/Short U.S. Equity Fund	2.55%	--	--		--	--    	--		DYLS	WisdomTree Dynamic Long/Short U.S. Equity Fund	WisdomTree	0.48%	$30.50M	0.24%	Alternatives: Absolute Returns	DYLS	WisdomTree Dynamic Long/Short U.S. Equity Fund	Open-Ended Fund	20.00	39.60	1099
DYY	DB Commodity Double Long ETN	Deutsche Bank	Leveraged Commodities: Broad Market		--	--	--	--	DYY	DB Commodity Double Long ETN	Commodities	Global	Global	Broad Market	Broad Market	Optimized	No	Yes	Yes	Deutsche Bank Liquid Commodity Index	Fixed	Fixed	No	DYY	DB Commodity Double Long ETN	0.00%	--	--		--	--    	--		DYY	DB Commodity Double Long ETN	Deutsche Bank	0.75%	$1.11M	5.34%	Leveraged Commodities: Broad Market	DYY	DB Commodity Double Long ETN	Exchange-Traded Note	20.00	39.60	1099
DZK	Direxion Daily Developed Markets Bull 3x Shares	Direxion	Leveraged Equity: Developed Markets Ex-U.S. - Total Market		--	--	--	--	DZK	Direxion Daily Developed Markets Bull 3x Shares	Equity	Developed Markets	Developed Markets Ex-U.S.	Size and Style	Total Market	Broad-based	No	Yes	No	MSCI EAFE Index	Market Cap	Market Cap	No	DZK	Direxion Daily Developed Markets Bull 3x Shares	0.00%	--	--		--	--    	--		DZK	Direxion Daily Developed Markets Bull 3x Shares	Direxion	1.00%	$19.25M	0.37%	Leveraged Equity: Developed Markets Ex-U.S. - Total Market	DZK	Direxion Daily Developed Markets Bull 3x Shares	Open-Ended Fund	20.00	39.60	1099
DZZ	DB Gold Double Short ETN	Deutsche Bank	Inverse Commodities: Precious Metals Gold		--	--	--	--	DZZ	DB Gold Double Short ETN	Commodities	Global	Global	Precious Metals	Gold	Optimized	Yes	No	Yes	Deutsche Bank Liquid Commodity Index - Optimum Yield Gold	Single Asset	Single Asset	No	DZZ	DB Gold Double Short ETN	0.00%	--	--		--	--    	--		DZZ	DB Gold Double Short ETN	Deutsche Bank	0.75%	$35.65M	0.15%	Inverse Commodities: Precious Metals Gold	DZZ	DB Gold Double Short ETN	Exchange-Traded Note	20.00	39.60	1099
EBND	SPDR Bloomberg Barclays Emerging Markets Local Bond ETF	State Street Global Advisors	Fixed Income: Emerging Markets - Sovereign		C	79	67	87	EBND	SPDR Bloomberg Barclays Emerging Markets Local Bond ETF	Fixed Income	Emerging Markets	Emerging Markets	Sovereign	Broad Market	Broad Maturities	No	No	No	Bloomberg Barclays EM Local Currency Government Diversified Index	Market Value	Market Value	No	EBND	SPDR Bloomberg Barclays Emerging Markets Local Bond ETF	0.00%	--	--		5.30	BBB-	5.30%		EBND	SPDR Bloomberg Barclays Emerging Markets Local Bond ETF	State Street Global Advisors	0.40%	$117.58M	0.32%	Fixed Income: Emerging Markets - Sovereign	EBND	SPDR Bloomberg Barclays Emerging Markets Local Bond ETF	Open-Ended Fund	20.00	39.60	1099
ECH	iShares MSCI Chile Capped ETF	BlackRock	Equity: Chile - Total Market		B	86	66	99	ECH	iShares MSCI Chile Capped ETF	Equity	Latin America	Chile	Size and Style	Total Market	Broad-based	No	No	No	MSCI Chile IMI 25/50 Index	Market Cap	Market Cap	No	ECH	iShares MSCI Chile Capped ETF	1.83%	15.99	1.49		--	--    	--		ECH	iShares MSCI Chile Capped ETF	BlackRock	0.64%	$391.94M	0.15%	Equity: Chile - Total Market	ECH	iShares MSCI Chile Capped ETF	Open-Ended Fund	20.00	39.60	1099
ECNS	iShares MSCI China Small-Cap ETF	BlackRock	Equity: China - Small Cap		F	67	21	31	ECNS	iShares MSCI China Small-Cap ETF	Equity	Asia-Pacific	China	Size and Style	Small Cap	Broad-based	No	No	No	MSCI China Small Cap Index	Market Cap	Market Cap	No	ECNS	iShares MSCI China Small-Cap ETF	4.15%	14.57	0.01		--	--    	--		ECNS	iShares MSCI China Small-Cap ETF	BlackRock	0.64%	$19.05M	1.41%	Equity: China - Small Cap	ECNS	iShares MSCI China Small-Cap ETF	Open-Ended Fund	20.00	39.60	1099
ECON	Columbia Emerging Markets Consumer ETF	Columbia	Equity: Emerging Markets Consumer Cyclicals		C	68	85	50	ECON	Columbia Emerging Markets Consumer ETF	Equity	Emerging Markets	Emerging Markets	Sector	Theme	Consumer	No	No	No	Dow Jones Emerging Markets Consumer Titans 30 Index	Market Cap	Market Cap	No	ECON	Columbia Emerging Markets Consumer ETF	0.73%	27.00	3.52		--	--    	--		ECON	Columbia Emerging Markets Consumer ETF	Columbia	0.85%	$670.62M	0.11%	Equity: Emerging Markets Consumer Cyclicals	ECON	Columbia Emerging Markets Consumer ETF	Open-Ended Fund	20.00	39.60	1099
EDBI	Legg Mason Emerging Markets Diversified Core ETF	Legg Mason	Equity: Emerging Markets - Total Market		--	--	--	--	EDBI	Legg Mason Emerging Markets Diversified Core ETF	Equity	Emerging Markets	Emerging Markets	Size and Style	Total Market	Broad-based	No	No	No	QS DBI Emerging Markets Diversified Index	Proprietary	Proprietary	No	EDBI	Legg Mason Emerging Markets Diversified Core ETF	3.72%	17.55	1.70		--	--    	--		EDBI	Legg Mason Emerging Markets Diversified Core ETF	Legg Mason	0.50%	$6.56M	0.12%	Equity: Emerging Markets - Total Market	EDBI	Legg Mason Emerging Markets Diversified Core ETF	Open-Ended Fund	20.00	39.60	1099
EDC	Direxion Daily Emerging Markets Bull 3x Shares	Direxion	Leveraged Equity: Emerging Markets - Total Market		--	--	--	--	EDC	Direxion Daily Emerging Markets Bull 3x Shares	Equity	Emerging Markets	Emerging Markets	Size and Style	Total Market	Broad-based	No	Yes	No	MSCI Emerging Markets Index	Market Cap	Market Cap	No	EDC	Direxion Daily Emerging Markets Bull 3x Shares	0.00%	--	--		--	--    	--		EDC	Direxion Daily Emerging Markets Bull 3x Shares	Direxion	1.07%	$161.09M	0.06%	Leveraged Equity: Emerging Markets - Total Market	EDC	Direxion Daily Emerging Markets Bull 3x Shares	Open-Ended Fund	20.00	39.60	1099
EDEN	iShares MSCI Denmark Capped ETF	BlackRock	Equity: Denmark - Total Market		B	87	69	85	EDEN	iShares MSCI Denmark Capped ETF	Equity	Europe	Denmark	Size and Style	Total Market	Broad-based	No	No	No	MSCI Denmark IMI 25/50 Index	Market Cap	Market Cap	No	EDEN	iShares MSCI Denmark Capped ETF	1.26%	24.81	2.98		--	--    	--		EDEN	iShares MSCI Denmark Capped ETF	BlackRock	0.53%	$57.25M	0.19%	Equity: Denmark - Total Market	EDEN	iShares MSCI Denmark Capped ETF	Open-Ended Fund	20.00	39.60	1099
EDIV	SPDR S&P Emerging Markets Dividend ETF	State Street Global Advisors	Equity: Emerging Markets - High Dividend Yield		B	82	81	56	EDIV	SPDR S&P Emerging Markets Dividend ETF	Equity	Emerging Markets	Emerging Markets	High Dividend Yield	High Dividend Yield	Broad-based	No	No	No	S&P Emerging Markets Dividend Opportunities Index	Fundamental	Dividend	No	EDIV	SPDR S&P Emerging Markets Dividend ETF	4.81%	11.01	1.34		--	--    	--		EDIV	SPDR S&P Emerging Markets Dividend ETF	State Street Global Advisors	0.49%	$302.68M	0.19%	Equity: Emerging Markets - High Dividend Yield	EDIV	SPDR S&P Emerging Markets Dividend ETF	Open-Ended Fund	20.00	39.60	1099
EDOG	ALPS Emerging Sector Dividend Dogs ETF	ALPS	Equity: Emerging Markets - Large Cap		F	62	42	53	EDOG	ALPS Emerging Sector Dividend Dogs ETF	Equity	Emerging Markets	Emerging Markets	Size and Style	Large Cap	Broad-based	No	No	No	S-Network Emerging Sector Dividend Dogs Index	Dividends	Equal	No	EDOG	ALPS Emerging Sector Dividend Dogs ETF	2.94%	21.35	1.53		--	--    	--		EDOG	ALPS Emerging Sector Dividend Dogs ETF	ALPS	0.60%	$18.75M	0.64%	Equity: Emerging Markets - Large Cap	EDOG	ALPS Emerging Sector Dividend Dogs ETF	Open-Ended Fund	20.00	39.60	1099
EDV	Vanguard Extended Duration Treasury Index Fund	Vanguard	Fixed Income: U.S. Government Treasury Long-Term		C	76	91	50	EDV	Vanguard Extended Duration Treasury Index Fund	Fixed Income	North America	U.S.	U.S. Government	Treasury	Long-Term	No	No	No	Bloomberg Barclays U.S. Treasury STRIPS 20-30 Year Equal Par Bond Index	Market Value	Market Value	No	EDV	Vanguard Extended Duration Treasury Index Fund	5.16%	--	--		24.53	AAA	2.65%		EDV	Vanguard Extended Duration Treasury Index Fund	Vanguard	0.07%	$426.32M	0.16%	Fixed Income: U.S. Government Treasury Long-Term	EDV	Vanguard Extended Duration Treasury Index Fund	Open-Ended Fund	20.00	39.60	1099
EDZ	Direxion Daily Emerging Markets Bear 3X Shares	Direxion	Inverse Equity: Emerging Markets - Total Market		--	--	--	--	EDZ	Direxion Daily Emerging Markets Bear 3X Shares	Equity	Emerging Markets	Emerging Markets	Size and Style	Total Market	Broad-based	Yes	No	No	MSCI Emerging Markets Index	Market Cap	Market Cap	No	EDZ	Direxion Daily Emerging Markets Bear 3X Shares	0.00%	--	--		--	--    	--		EDZ	Direxion Daily Emerging Markets Bear 3X Shares	Direxion	0.98%	$109.67M	0.04%	Inverse Equity: Emerging Markets - Total Market	EDZ	Direxion Daily Emerging Markets Bear 3X Shares	Open-Ended Fund	20.00	39.60	1099
EEB	Guggenheim BRIC ETF	Guggenheim	Equity: Emerging Markets - Total Market		B	87	61	46	EEB	Guggenheim BRIC ETF	Equity	Emerging Markets	Emerging Markets	Size and Style	Total Market	Broad-based	No	No	No	BNY Mellon BRIC Select DR Index	Depository Receipts	Market Cap	No	EEB	Guggenheim BRIC ETF	1.35%	27.32	1.44		--	--    	--		EEB	Guggenheim BRIC ETF	Guggenheim	0.64%	$77.28M	0.44%	Equity: Emerging Markets - Total Market	EEB	Guggenheim BRIC ETF	Open-Ended Fund	20.00	39.60	1099
EEH	Elements Spectrum Large Cap US Sector Momentum Index ETN	Swedish Export Credit	Equity: U.S. - Large Cap		--	--	--	--	EEH	Elements Spectrum Large Cap US Sector Momentum Index ETN	Equity	North America	U.S.	Size and Style	Large Cap	Broad-based	No	No	Yes	SPECTRUM Large Cap U.S. Sector Momentum Index	Market Cap	Fixed	No	EEH	Elements Spectrum Large Cap US Sector Momentum Index ETN	0.00%	--	--		--	--    	--		EEH	Elements Spectrum Large Cap US Sector Momentum Index ETN	Swedish Export Credit	0.75%	$2.00M	2.44%	Equity: U.S. - Large Cap	EEH	Elements Spectrum Large Cap US Sector Momentum Index ETN	Exchange-Traded Note	20.00	39.60	1099
EELV	PowerShares S&P Emerging Markets Low Volatility Portfolio	Invesco PowerShares	Equity: Emerging Markets - Total Market		C	74	81	61	EELV	PowerShares S&P Emerging Markets Low Volatility Portfolio	Equity	Emerging Markets	Emerging Markets	Size and Style	Total Market	Broad-based	No	No	No	S&P BMI Emerging Markets Low Volatility Index	Volatility	Volatility	No	EELV	PowerShares S&P Emerging Markets Low Volatility Portfolio	2.26%	13.36	1.40		--	--    	--		EELV	PowerShares S&P Emerging Markets Low Volatility Portfolio	Invesco PowerShares	0.29%	$243.96M	0.20%	Equity: Emerging Markets - Total Market	EELV	PowerShares S&P Emerging Markets Low Volatility Portfolio	Open-Ended Fund	20.00	39.60	1099
EEM	iShares MSCI Emerging Markets ETF	BlackRock	Equity: Emerging Markets - Total Market		B	86	85	98	EEM	iShares MSCI Emerging Markets ETF	Equity	Emerging Markets	Emerging Markets	Size and Style	Total Market	Broad-based	No	No	No	MSCI Emerging Markets Index	Market Cap	Market Cap	No	EEM	iShares MSCI Emerging Markets ETF	1.83%	15.44	1.51		--	--    	--		EEM	iShares MSCI Emerging Markets ETF	BlackRock	0.72%	$26.74B	0.03%	Equity: Emerging Markets - Total Market	EEM	iShares MSCI Emerging Markets ETF	Open-Ended Fund	20.00	39.60	1099
EEMA	iShares MSCI Emerging Markets Asia ETF	BlackRock	Equity: Emerging Asia-Pacific - Total Market		B	88	62	98	EEMA	iShares MSCI Emerging Markets Asia ETF	Equity	Asia-Pacific	Emerging Asia-Pacific	Size and Style	Total Market	Broad-based	No	No	No	MSCI Emerging Markets Asia Index	Market Cap	Market Cap	No	EEMA	iShares MSCI Emerging Markets Asia ETF	1.67%	14.33	1.54		--	--    	--		EEMA	iShares MSCI Emerging Markets Asia ETF	BlackRock	0.49%	$207.04M	0.29%	Equity: Emerging Asia-Pacific - Total Market	EEMA	iShares MSCI Emerging Markets Asia ETF	Open-Ended Fund	20.00	39.60	1099
EEMO	PowerShares S&P Emerging Markets Momentum Portfolio	Invesco PowerShares	Equity: Emerging Markets - Total Market		F	71	18	64	EEMO	PowerShares S&P Emerging Markets Momentum Portfolio	Equity	Emerging Markets	Emerging Markets	Size and Style	Total Market	Broad-based	No	No	No	S&P Momentum Emerging Plus LargeMidCap Index	Momentum	Momentum	No	EEMO	PowerShares S&P Emerging Markets Momentum Portfolio	1.47%	17.39	2.06		--	--    	--		EEMO	PowerShares S&P Emerging Markets Momentum Portfolio	Invesco PowerShares	0.29%	$1.52M	2.66%	Equity: Emerging Markets - Total Market	EEMO	PowerShares S&P Emerging Markets Momentum Portfolio	Open-Ended Fund	20.00	39.60	1099
EEMS	iShares MSCI Emerging Markets Small Cap ETF	BlackRock	Equity: Emerging Markets - Small Cap		D	74	58	100	EEMS	iShares MSCI Emerging Markets Small Cap ETF	Equity	Emerging Markets	Emerging Markets	Size and Style	Small Cap	Broad-based	No	No	No	MSCI Emerging Markets Small Cap Index	Market Cap	Market Cap	No	EEMS	iShares MSCI Emerging Markets Small Cap ETF	2.46%	20.84	0.05		--	--    	--		EEMS	iShares MSCI Emerging Markets Small Cap ETF	BlackRock	0.71%	$162.89M	0.55%	Equity: Emerging Markets - Small Cap	EEMS	iShares MSCI Emerging Markets Small Cap ETF	Open-Ended Fund	20.00	39.60	1099
EEMV	iShares Edge MSCI Min Vol Emerging Markets ETF	BlackRock	Equity: Emerging Markets - Total Market		B	84	77	67	EEMV	iShares Edge MSCI Min Vol Emerging Markets ETF	Equity	Emerging Markets	Emerging Markets	Size and Style	Total Market	Broad-based	No	No	No	MSCI Emerging Markets Minimum Volatility Index	Multi-Factor	Multi-Factor	No	EEMV	iShares Edge MSCI Min Vol Emerging Markets ETF	2.73%	15.84	2.03		--	--    	--		EEMV	iShares Edge MSCI Min Vol Emerging Markets ETF	BlackRock	0.25%	$3.65B	0.03%	Equity: Emerging Markets - Total Market	EEMV	iShares Edge MSCI Min Vol Emerging Markets ETF	Open-Ended Fund	20.00	39.60	1099
EEMX	SPDR MSCI Emerging Markets Fossil Fuel Reserves Free ETF	State Street Global Advisors	Equity: Emerging Markets - Total Market		--	--	--	--	EEMX	SPDR MSCI Emerging Markets Fossil Fuel Reserves Free ETF	Equity	Emerging Markets	Emerging Markets	Size and Style	Total Market	Broad-based	No	No	No	MSCI Emerging Markets ex Fossil Fuels Index	Market Cap	Market Cap	No	EEMX	SPDR MSCI Emerging Markets Fossil Fuel Reserves Free ETF	--	40.08	2.37		--	--    	--		EEMX	SPDR MSCI Emerging Markets Fossil Fuel Reserves Free ETF	State Street Global Advisors	0.30%	$5.29M	1.24%	Equity: Emerging Markets - Total Market	EEMX	SPDR MSCI Emerging Markets Fossil Fuel Reserves Free ETF	Open-Ended Fund	0.00	0.00	1099
EES	WisdomTree SmallCap Earnings Fund	WisdomTree	Equity: U.S. - Small Cap		A	93	85	83	EES	WisdomTree SmallCap Earnings Fund	Equity	North America	U.S.	Size and Style	Small Cap	Broad-based	No	No	No	WisdomTree Small Cap Earnings Index	Earnings	Earnings	No	EES	WisdomTree SmallCap Earnings Fund	1.02%	-45.38	1.70		--	--    	--		EES	WisdomTree SmallCap Earnings Fund	WisdomTree	0.38%	$464.14M	0.28%	Equity: U.S. - Small Cap	EES	WisdomTree SmallCap Earnings Fund	Open-Ended Fund	20.00	39.60	1099
EET	ProShares Ultra MSCI Emerging Markets	ProShares	Leveraged Equity: Emerging Markets - Total Market		--	--	--	--	EET	ProShares Ultra MSCI Emerging Markets	Equity	Emerging Markets	Emerging Markets	Size and Style	Total Market	Broad-based	No	Yes	No	MSCI Emerging Markets Index	Market Cap	Market Cap	No	EET	ProShares Ultra MSCI Emerging Markets	0.00%	--	--		--	--    	--		EET	ProShares Ultra MSCI Emerging Markets	ProShares	0.95%	$22.01M	0.63%	Leveraged Equity: Emerging Markets - Total Market	EET	ProShares Ultra MSCI Emerging Markets	Open-Ended Fund	20.00	39.60	1099
EEV	ProShares UltraShort MSCI Emerging Markets	ProShares	Inverse Equity: Emerging Markets - Total Market		--	--	--	--	EEV	ProShares UltraShort MSCI Emerging Markets	Equity	Emerging Markets	Emerging Markets	Size and Style	Total Market	Broad-based	Yes	No	No	MSCI Emerging Markets Index	Market Cap	Market Cap	No	EEV	ProShares UltraShort MSCI Emerging Markets	0.00%	--	--		--	--    	--		EEV	ProShares UltraShort MSCI Emerging Markets	ProShares	0.95%	$41.09M	0.06%	Inverse Equity: Emerging Markets - Total Market	EEV	ProShares UltraShort MSCI Emerging Markets	Open-Ended Fund	20.00	39.60	1099
EFA	iShares MSCI EAFE ETF	BlackRock	Equity: Developed Markets Ex-U.S. - Total Market		A	95	90	92	EFA	iShares MSCI EAFE ETF	Equity	Developed Markets	Developed Markets Ex-U.S.	Size and Style	Total Market	Broad-based	No	No	No	MSCI EAFE Index	Market Cap	Market Cap	No	EFA	iShares MSCI EAFE ETF	3.02%	22.04	1.60		--	--    	--		EFA	iShares MSCI EAFE ETF	BlackRock	0.33%	$61.29B	0.02%	Equity: Developed Markets Ex-U.S. - Total Market	EFA	iShares MSCI EAFE ETF	Open-Ended Fund	20.00	39.60	1099
EFAD	ProShares MSCI EAFE Dividend Growers ETF	ProShares	Equity: Developed Markets Ex-U.S. - Total Market		C	84	68	66	EFAD	ProShares MSCI EAFE Dividend Growers ETF	Equity	Developed Markets	Developed Markets Ex-U.S.	Size and Style	Total Market	Broad-based	No	No	No	MSCI EAFE Dividend Masters Index	Dividends	Equal	No	EFAD	ProShares MSCI EAFE Dividend Growers ETF	2.89%	23.11	2.68		--	--    	--		EFAD	ProShares MSCI EAFE Dividend Growers ETF	ProShares	0.50%	$36.06M	0.18%	Equity: Developed Markets Ex-U.S. - Total Market	EFAD	ProShares MSCI EAFE Dividend Growers ETF	Open-Ended Fund	20.00	39.60	1099
EFAS	Global X MSCI SuperDividend EAFE ETF	Global X	Equity: Developed Markets Ex-U.S. - High Dividend Yield		--	--	--	--	EFAS	Global X MSCI SuperDividend EAFE ETF	Equity	Developed Markets	Developed Markets Ex-U.S.	High Dividend Yield	High Dividend Yield	Broad-based	No	No	No	MSCI EAFE Top 50 Dividend Index	Multi-Factor	Equal	No	EFAS	Global X MSCI SuperDividend EAFE ETF	--	38.71	1.48		--	--    	--		EFAS	Global X MSCI SuperDividend EAFE ETF	Global X	0.55%	$1.58M	0.36%	Equity: Developed Markets Ex-U.S. - High Dividend Yield	EFAS	Global X MSCI SuperDividend EAFE ETF	Open-Ended Fund	20.00	39.60	1099
EFAV	iShares Edge MSCI Min Vol EAFE ETF	BlackRock	Equity: Developed Markets Ex-U.S. - Total Market		A	95	89	56	EFAV	iShares Edge MSCI Min Vol EAFE ETF	Equity	Developed Markets	Developed Markets Ex-U.S.	Size and Style	Total Market	Broad-based	No	No	No	MSCI EAFE Minimum Volatility Index	Multi-Factor	Multi-Factor	No	EFAV	iShares Edge MSCI Min Vol EAFE ETF	3.89%	18.57	1.95		--	--    	--		EFAV	iShares Edge MSCI Min Vol EAFE ETF	BlackRock	0.20%	$5.91B	0.03%	Equity: Developed Markets Ex-U.S. - Total Market	EFAV	iShares Edge MSCI Min Vol EAFE ETF	Open-Ended Fund	20.00	39.60	1099
EFAX	SPDR MSCI EAFE Fossil Fuel Reserves Free ETF	State Street Global Advisors	Equity: Developed Markets Ex-U.S. - Total Market		--	--	--	--	EFAX	SPDR MSCI EAFE Fossil Fuel Reserves Free ETF	Equity	Developed Markets	Developed Markets Ex-U.S.	Size and Style	Total Market	Broad-based	No	No	No	MSCI EAFE ex Fossil Fuels Index	Market Cap	Market Cap	No	EFAX	SPDR MSCI EAFE Fossil Fuel Reserves Free ETF	--	19.12	1.63		--	--    	--		EFAX	SPDR MSCI EAFE Fossil Fuel Reserves Free ETF	State Street Global Advisors	0.20%	$30.61M	1.06%	Equity: Developed Markets Ex-U.S. - Total Market	EFAX	SPDR MSCI EAFE Fossil Fuel Reserves Free ETF	Open-Ended Fund	0.00	0.00	1099
EFFE	Global X JPMorgan Efficiente Index ETF	Global X	Asset Allocation: Target Outcome		--	--	--	--	EFFE	Global X JPMorgan Efficiente Index ETF	Asset Allocation	Global	Global	Asset Allocation	Target Outcome	Capital Appreciation	No	No	No	JPMorgan ETF Efficiente 10 TR Series X	Technical	Technical	No	EFFE	Global X JPMorgan Efficiente Index ETF	1.74%	--	--		--	--    	--		EFFE	Global X JPMorgan Efficiente Index ETF	Global X	0.84%	$7.31M	0.62%	Asset Allocation: Target Outcome	EFFE	Global X JPMorgan Efficiente Index ETF	Open-Ended Fund	20.00	39.60	1099
EFG	iShares MSCI EAFE Growth ETF	BlackRock	Equity: Developed Markets Ex-U.S. - Total Market Growth		A	93	86	92	EFG	iShares MSCI EAFE Growth ETF	Equity	Developed Markets	Developed Markets Ex-U.S.	Size and Style	Total Market	Growth	No	No	No	MSCI EAFE Growth Index	Multi-Factor	Market Cap	No	EFG	iShares MSCI EAFE Growth ETF	2.16%	27.56	2.71		--	--    	--		EFG	iShares MSCI EAFE Growth ETF	BlackRock	0.40%	$2.55B	0.07%	Equity: Developed Markets Ex-U.S. - Total Market Growth	EFG	iShares MSCI EAFE Growth ETF	Open-Ended Fund	20.00	39.60	1099
